tipo	identificador	sha256	bytes	localizacion
fuente	F01	d79c5a325a3a7996ab408fe97c94db6d6ff04faea8dcd3b2bf84cd38282f6104	4384	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/AGENTS.md
fuente	F02	d3c9f7d7a3c3626f7fe75917d89d067cd7d281178f857a9d693ca945a7144755	25563	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/PILARES_Y_RESTRICCIONES_DE_DISENO_DEL_LENGUAJE_DE_COMPUTACION_SV_2026_09_05.md
fuente	F03	38673267da27fae204f81689aaaf4cb0fd123e7f2e4a3384850c44762c0c06d8	29014	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/ACTA_TECNICA_DE_PERFILES_CONTRATOS_Y_ENSAMBLAJE_DEL_LENGUAJE_SV_2026_09_06.md
fuente	F04	b625b2f1ad0db01d38779edcb5033447543da319106ffc1089be1cc1648e9871	67111	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/dominios/inmunologia/ACTA_DE_CONFORMIDAD_DE_TRANSICION_SECUENCIAL_DESDE_OP-IMM-001_AL_LENGUAJE_SV_2026_09_03.md
fuente	F05	d92924b9e81233b02902f44a990d04df1fea6c7843de961c703b718f4dca5173	22770	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/ACTA_001_CONTINUIDAD_Y_RUMBO_2026_09_15.md
fuente	F06	ab23daf479d5b997c8f8a410c52906e24df3146c815ca74143effac955848316	12041	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/inicio.md
fuente	F07	f6b9edd632bb2d8636096c1cbf6a2b02189e9f87b7e0a8969a89fa75603de4df	78662	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/PARTE_ALCANCE_PRIVACIDAD_SEGURIDAD_Y_OP_CYB_001_2026_09_15.md
fuente	F08	f7adf7d5fdbc6e2744f51b06c495a8695e0490c9c92c183d6a39b3785d2a6dfe	86579	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.md
fuente	F09	6d28779417e75c194d48010e2cd961e2cf29bf8c1df986a731fd913df8743354	74710	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/SUCESOS_SV.csv
fuente	F10	ccc277589a8143aae0c2e52162a9a7b49758fa6020748f283ffa7a690a36a574	332350	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/Inventario-sv/sucesos/HISTORIAL_SUCESOS_SV.csv
fuente	F11	28f9024e0fd2ce5f6a4cbe7938b88debc9eb03d971cab8b36112ca8a696ce8bc	374061	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md
fuente	F12	e6fa3e9f8d11ffb1fb57ef16cd0f1e21a96912506134a278970926a5c3d4a114	331944	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.csv
fuente	F13	79c5eaaf0ef3acf3120e6343a88480c85100aec75cba590fd93520332fe6ec91	48040	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/frame-significado-humano-trazabilidad-y-fidelidad/LEAME_PRIMERO.md
fuente	F14	3f601d5f54ad4debfc71fce70377ba5bc33b75f2a5db8bcab333a1b95d8f0b40	5290	https://raw.githubusercontent.com/juantoniolloretegea/SV-lenguaje-de-computacion/bdb094958da5be00d2c24864c333deaa4f0636cc/docs/calidad/tuberias-ia/continuacion-15-09-2026/PROCEDIMIENTO_ENCARGOS_Y_RESPUESTAS_2026_09_17.md
fuente	F15	892db4d88f91b49548d6c54342104265a61f1d772ab82317d70f38236ceeb866	20453	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/206c405184a33884cdf0d19017b8f31d0f398340/docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/MANDATO_PUBLICO.md
fuente	F16	9cdf2f9f30caa77a64376037a19458ffebb598552bbf48b82ad9a624fe613b34	7341	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/206c405184a33884cdf0d19017b8f31d0f398340/docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/ADENDA_A01.md
fuente	F17	79655416ac99a77f8ba030246f80929c0f03aa8c2bdd1c94f7fb7f16d1207723	6223	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/206c405184a33884cdf0d19017b8f31d0f398340/docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0001/v1/ENCARGO_COMUN.md
fuente	F18	f406326aaa1f64f580b32a8c11bb188ac8cda53a55d38b298d0f10257b61c8b1	4195	https://raw.githubusercontent.com/juantoniolloretegea/SVcustos-dataset/206c405184a33884cdf0d19017b8f31d0f398340/docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/fichas/estado-canonico/v2.md
expediente	fichas/estado-canonico/v3.md	513563f09876b1c43dfc3eaf792af590838ac46ec5fc88c16861504c04280b76	3770	fichas/estado-canonico/v3.md
expediente	fichas/mapa-fuentes/v3.md	04f2d603b07f365197e70a33dacffa150758742da46994795e66226aca6a9872	1663	fichas/mapa-fuentes/v3.md
expediente	encargos/LP-AUD-0002/v1/ENCARGO_COMUN.md	f14a56bf2c1b0590d99b9888950e565979ab35eac09a5e1488c625983858dbe9	8292	encargos/LP-AUD-0002/v1/ENCARGO_COMUN.md
expediente	encargos/LP-AUD-0002/v1/ANALISIS_PREPARATORIO.md	b4076d6598fcd1c6f3ee2c82ef099f799519e5b4c5d3970db8928a18e0b892df	4345	encargos/LP-AUD-0002/v1/ANALISIS_PREPARATORIO.md
expediente	encargos/LP-AUD-0002/v1/MATRIZ_EVIDENCIA.md	922ad8ad6253187c224ccfb5ed9cf140a8ffad949a7d30788a2d877255b5a504	2699	encargos/LP-AUD-0002/v1/MATRIZ_EVIDENCIA.md
expediente	encargos/LP-AUD-0002/v1/PROTOCOLO_ENTREGA.md	a97ebdf7c3723b875d8b27c755e3561fae314952880514f3ec41aef134811739	4562	encargos/LP-AUD-0002/v1/PROTOCOLO_ENTREGA.md
expediente	encargos/LP-AUD-0002/v1/PLANTILLA_RESPUESTA.md	843e8758d27d67515e14d12724df5a24fd47907159d434e8305ca70791ec623b	1700	encargos/LP-AUD-0002/v1/PLANTILLA_RESPUESTA.md
expediente	encargos/LP-AUD-0002/v1/REFERENCIAS_RESERVADAS.md	3f169cfd74703ae2d3194d9b9ef09be3e474ca6f3f108fb146d104d011bcea27	2148	encargos/LP-AUD-0002/v1/REFERENCIAS_RESERVADAS.md
expediente	encargos/LP-AUD-0002/v1/README.md	503b4064c622e87943f98bb07e27b52e17a6f9e3ee8b4e75d9fd0e169f24e864	1107	encargos/LP-AUD-0002/v1/README.md
expediente	encargos/LP-AUD-0002/v1/claude/LEAME.md	e93ff869973f31e4efeef41269c939c6c9a1871db735b3089ab7f0fb335e0011	1616	encargos/LP-AUD-0002/v1/claude/LEAME.md
expediente	encargos/LP-AUD-0002/v1/grok/LEAME.md	4354f17d89cec5c2a045b2cf98d2941cc78f1e81bbe11c7645aa9dae48dda4d9	1610	encargos/LP-AUD-0002/v1/grok/LEAME.md
expediente	encargos/LP-AUD-0002/v1/BASE_PUBLICA_VERIFICADA.json	b8f98d911d66daed81120478b3d25ff32345167769bbcf58cb74d9c8ec4895cc	448	encargos/LP-AUD-0002/v1/BASE_PUBLICA_VERIFICADA.json
expediente	encargos/LP-AUD-0002/v1/COMPROBACIONES_PREVIAS.md	1998f5190c01891e475e4d1284eef224d461166a797aede6bc15b85926451cd5	1857	encargos/LP-AUD-0002/v1/COMPROBACIONES_PREVIAS.md
expediente	encargos/LP-AUD-0002/v1/FUENTES.tsv	3a7cf5cfd310f7652c02d91c762ae50a16aac54e563e1e285de69ad3ceb80aec	9525	encargos/LP-AUD-0002/v1/FUENTES.tsv
