"commit"	"ruta"	"http"	"sha256"	"bytes"	"consulta_utc"	"metodo"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/ESTADO.md"	"200"	"5c3a18ce611cf0f3e384c045f400c5507bddbb4b40fc668da4a3d1917e0523cb"	"1959"	"2026-09-17T16:45:04.1733970Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/HISTORIAL_LP.csv"	"200"	"22b4ffd2c2fe234cf900635b980efe3ed0e8e7ccde9440bc7230cab9baec4de9"	"2434"	"2026-09-17T16:45:04.5332869Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/LEAME_PRIMERO.md"	"200"	"34352b880ad77100b570f61a700e6c63a026d9d789053fe5bde7e42b57a72f8f"	"3613"	"2026-09-17T16:45:04.8847632Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/README.md"	"200"	"8bfe953cb03724c5f00fed8140ff37ed13caf594fe3b8d5b9256d08e9cb65fdb"	"2459"	"2026-09-17T16:45:05.2504072Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/REGISTRO_LP.csv"	"200"	"0652e2da7a421d7d565e0705ea1dfea79db76a34faa1e3a86eae08cfea33a180"	"2952"	"2026-09-17T16:45:05.8830670Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/REGISTRO_LP.md"	"200"	"667e4ee32d4cec2d1e32a7230a6aacd516ebc8f9ac9b2ea098ca8bc8841876fb"	"3980"	"2026-09-17T16:45:06.2501380Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0002/v1/ANALISIS_PREPARATORIO.md"	"200"	"b4076d6598fcd1c6f3ee2c82ef099f799519e5b4c5d3970db8928a18e0b892df"	"4345"	"2026-09-17T16:45:06.5925228Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0002/v1/BASE_PUBLICA_VERIFICADA.json"	"200"	"b8f98d911d66daed81120478b3d25ff32345167769bbcf58cb74d9c8ec4895cc"	"448"	"2026-09-17T16:45:06.9409881Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0002/v1/COMPROBACIONES_PREVIAS.md"	"200"	"1998f5190c01891e475e4d1284eef224d461166a797aede6bc15b85926451cd5"	"1857"	"2026-09-17T16:45:07.2943885Z"	"GET anónimo; igualdad con blob Git local"
"116b69eae43037a9159a1d7c483b0e585c4445c2"	"docs/laboratorio-de-infraestructura-SV/documentacion/revision-publica/encargos/LP-AUD-0002/v1/ENCARGO_COMUN.md"	"200"	"f14a56bf2c1b0590d99b9888950e565979ab35eac09a5e1488c625983858dbe9"	"8292"	"2026-09-17T16:45:07.6616873Z"	"GET anónimo; igualdad con blob Git local"
